"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","qval"
"CENPK1137D_10",243.390210677968,-2.2243410102913,0.553349420848475,-4.01977652182343,5.82533725629453e-05,0.000987533363448025,0.000502462507115391
"CENPK1137D_1004",9.87085639030438,3.20775026990516,0.963955471065266,3.32769548614136,0.000875675274134664,0.00806225166186053,0.00408939759685074
"CENPK1137D_1006",8.51519568141738,1.36938871851229,0.476504519446469,2.87382105022434,0.00405538669737327,0.0241155511848254,0.0123174072918495
"CENPK1137D_1007",9.82996780859927,1.04983162520043,0.411328858915547,2.55229265451558,0.0107016586109693,0.0496066466862639,0.0253295291786695
"CENPK1137D_101",6.65211447343903,1.45985027100685,0.78028374782603,1.87092230880648,0.0613558503533,0.169673868921088,0.0858846415315022
"CENPK1137D_1011",40.2496405010685,-1.36973198826728,0.429846226823529,-3.18656278174012,0.00143974236755781,0.0114967607724395,0.00587940833637417
"CENPK1137D_1012",95.4004953879223,-1.13736861197092,0.306839970190543,-3.70671595119968,0.000209964207742597,0.00274239414843122,0.00139813235084039
"CENPK1137D_1015",16.648028521754,-1.73618112021827,0.700586261853218,-2.47818322275641,0.0132053313713843,0.0585684962817209,0.029693982248544
"CENPK1137D_1019",518.841878138593,-1.46604221121571,0.300185684422983,-4.88378456165802,1.04068779219272e-06,3.96948057879222e-05,1.97949626769019e-05
"CENPK1137D_102",173.141671468369,-1.57324163374976,0.286786119197306,-5.48576632004769,4.11680813612106e-08,2.64864523456463e-06,1.33820690001354e-06
"CENPK1137D_1021",35.8212395509474,1.29824477025499,0.426661225024768,3.04279998769428,0.00234388065299624,0.0163612061267973,0.00833874438945076
"CENPK1137D_1022",1032.51931991353,-1.30928114284063,0.362053728731192,-3.61626200461731,0.000298887861182137,0.00361597056080486,0.0018304247855676
"CENPK1137D_1029",16.3611078311906,0.893788502365745,0.478920063369513,1.86625821452825,0.0620052478888119,0.170498467418257,0.0864791363883504
"CENPK1137D_1033",14.6418427261554,1.07280509140026,0.447627723914953,2.39664577077018,0.0165459106660956,0.0688124322094629,0.0351076408702237
"CENPK1137D_1034",7.04546430223346,1.4371572410972,0.542343427330083,2.64990256851128,0.00805149864046257,0.0400325910056519,0.0204714469315696
"CENPK1137D_1035",34.1832087835383,0.712952676417207,0.31510436080029,2.2625922237524,0.0236608379357943,0.0889525670952405,0.0453298009000231
"CENPK1137D_1036",244.809063161014,-1.16029408064601,0.399327106635393,-2.90562313793895,0.00366522600239308,0.0224195954785556,0.0114531866727034
"CENPK1137D_1037",12.1051773176797,0.976337458581304,0.4974375483076,1.96273373793964,0.04967712073867,0.147048683339522,0.0745417598400895
"CENPK1137D_1039",22.2634047009077,0.835407040480736,0.315200900428882,2.65039547585058,0.00803976001187647,0.0400114803946136,0.020449411406146
"CENPK1137D_104",390.048317687091,-0.914056706970997,0.342834511415811,-2.66617471851418,0.00767198096108847,0.0387224747941516,0.0197503917029767
"CENPK1137D_1047",25.4719663105029,-1.04237188395706,0.465893138638597,-2.23736259993657,0.0252626508522009,0.0929721264994849,0.0474284187859438
"CENPK1137D_1049",57.6454211170531,-1.14097394937851,0.629242905853631,-1.81324880863085,0.0697934548982788,0.183323683795774,0.0932871861365572
"CENPK1137D_1051",21.5301322199326,1.96101827381951,0.987749634351209,1.98533940749832,0.0471067224324155,0.142038338672557,0.0720158340710897
"CENPK1137D_1052",35.1641732609464,0.586547372287341,0.323698870284805,1.81201550617483,0.0699838005991484,0.183733281808974,0.0934464843310591
"CENPK1137D_1053",894.03452260416,-0.786345941487095,0.368285773379951,-2.13515155437688,0.03274863263967,0.111033459235452,0.0564273783785345
"CENPK1137D_1055",601.009280559122,0.997210402869864,0.512284903613712,1.94659338160355,0.0515835027082649,0.149948777605952,0.0763860988287127
"CENPK1137D_1062",1134.22633692233,-1.42557032651328,0.40620472091237,-3.50948734251865,0.000448971427749243,0.00486309822349078,0.00247739592636319
"CENPK1137D_1063",99.0318380705848,-1.16806336222627,0.364167860514309,-3.20748613174328,0.00133900516315792,0.0110173922515613,0.00559108279094463
"CENPK1137D_1066",21.7902690982338,1.3950489428787,0.685388797432222,2.035412525132,0.0418093821049967,0.131330647318048,0.0664979882117617
"CENPK1137D_1068",4.28132701941063,2.27209438947008,0.932378758724684,2.43687918478309,0.0148146281061055,0.0635933392979128,0.0323804819328496
"CENPK1137D_1071",63.0079601940355,-1.10699827612844,0.376912679925479,-2.93701521622278,0.00331387843347374,0.0208261690857945,0.0106510238425113
