"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","qval"
"CENPK1137D_3491",3827.63089980324,7.74296448022494,0.195543138220173,39.5972190622547,0,0,0
"CENPK1137D_5330",4862.46354748593,-2.6143517440112,0.091637445991661,-28.5292951557064,5.07559075554708e-179,1.38106824458436e-175,3.28579118874172e-176
"CENPK1137D_5183",3503.98407029442,3.48986442247297,0.181373989112049,19.2412618786093,1.67090743313984e-82,3.03102608371567e-79,7.21131547102989e-80
"CENPK1137D_1558",9637.12429001646,5.77872705520018,0.314261757036183,18.3882605051904,1.63130460963574e-75,2.21938992140943e-72,5.28029796988344e-73
"CENPK1137D_4162",2113.99197808123,1.23509163690796,0.069244258709341,17.8367370801437,3.66480948006452e-71,3.98877863810223e-68,9.48996818536068e-69
"CENPK1137D_4159",2704.48258275089,2.11785741287562,0.134564292572886,15.7386285201069,8.22061306732709e-56,7.45609605206567e-53,1.77392933378629e-53
"CENPK1137D_3473",2742.22508872462,-1.07562588791325,0.0737856687756939,-14.5777073754405,3.89374696161205e-48,3.0271101378704e-45,7.20199878417936e-46
"CENPK1137D_454",841.014656777343,1.52222004542035,0.105362564017483,14.4474468670653,2.6015176361757e-47,1.76968237200852e-44,4.21036887034293e-45
"CENPK1137D_4168",2042.14074600182,1.61594349003395,0.11566709515819,13.970641242645,2.35496724444919e-44,1.42397019381028e-41,3.38786206561486e-42
"CENPK1137D_306",2666.03010318859,-1.79677512487853,0.130994462982096,-13.7164204041518,8.09651131713241e-43,4.40612145878346e-40,1.04828962091975e-40
"CENPK1137D_2201",5062.14971823571,-2.95461191251692,0.226705381172406,-13.0328265576986,7.96031670215861e-39,3.93818577210429e-36,9.36959933757847e-37
"CENPK1137D_2005",3634.88595250058,-1.63152393176705,0.131328789148858,-12.4232009016527,1.95576846025047e-35,8.86940996723587e-33,2.11018023431944e-33
"CENPK1137D_4155",4066.32018381458,2.91863481303938,0.2373330899796,12.2976312038505,9.32694164791476e-35,3.90440126522709e-32,9.28922037336117e-33
"CENPK1137D_1957",655.614861855244,-4.10273643626053,0.337406995376148,-12.1596069212694,5.10035119143066e-34,1.98257937026897e-31,4.5002597708456e-32
"CENPK1137D_4681",1308.86499575069,-2.6530771121987,0.218404593153902,-12.1475335014093,5.9122409725296e-34,2.14496102483374e-31,5.10321923860773e-32
"CENPK1137D_5",2527.90435383132,1.89226223147817,0.156431730824878,12.0964092227332,1.10332554721095e-33,3.75268601745123e-31,8.92826455072571e-32
"CENPK1137D_36",2607.31004600665,1.93608531127961,0.163752198119487,11.8232630371587,2.95961204065654e-32,9.47424042661934e-30,2.25407946608571e-30
"CENPK1137D_167",6035.42992929622,-1.45736082961931,0.124835386204048,-11.674260591762,1.72559592756483e-31,5.21705168767101e-29,1.24122341772608e-29
"CENPK1137D_1148",1827.88088827931,1.9032219500586,0.163994523133841,11.6053994590132,3.8687678520148e-31,1.10809656056129e-28,2.63634612499766e-29
"CENPK1137D_4171",7296.67288017254,1.66679187854657,0.144096877233203,11.5671616939281,6.04494496576953e-31,1.64482952518589e-28,3.91332316996729e-29
"CENPK1137D_1662",1380.49283990562,-1.04103306400216,0.0903728385467134,-11.5193135541942,1.0544769461328e-30,2.73260168612127e-28,6.50131416590514e-29
"CENPK1137D_4499",7645.28745804581,-1.10968113590702,0.0968210237194131,-11.46115888139,2.06729936812207e-30,5.11374689150923e-28,1.17775969343041e-28
"CENPK1137D_51",1874.51760575567,-0.74729870195669,0.0652395939028099,-11.4546804670485,2.22783299102656e-30,5.27124658137675e-28,1.25411728484028e-28
"CENPK1137D_4650",8096.40071842119,-3.63851190321255,0.320885732414308,-11.3389644214992,8.4134143900018e-30,1.90774171293291e-27,4.53883501798748e-28
"CENPK1137D_4174",7405.49525394498,1.1507202022904,0.102734408937323,11.2009229837731,4.03507385301412e-29,8.78354876324114e-27,2.07596074586683e-27
"CENPK1137D_479",41715.4027011346,-1.64708447308705,0.147573401621246,-11.1611201950496,6.3190286541013e-29,1.32262130521613e-26,3.14673619335092e-27
"CENPK1137D_62",9822.92401097083,-1.4869241338733,0.134128950293942,-11.085780740211,1.47061819728906e-28,2.96411267764705e-26,7.05211734238481e-27
"CENPK1137D_4191",3523.46622021696,2.08691103454847,0.189270317699152,11.0260872381777,2.86040888104492e-28,5.55940897523088e-26,1.32267591388453e-26
"CENPK1137D_1354",4082.51786600966,1.11392302535889,0.102224368039803,10.8968443309443,1.19324133705846e-27,2.2391790883697e-25,5.16766619907986e-26
"CENPK1137D_232",11541.3430125878,-3.03563399143257,0.278674031211171,-10.8931355327194,1.24286057913475e-27,2.25454909055043e-25,5.36394748439512e-26
"CENPK1137D_4181",1391.70323908779,1.42484270771742,0.131694201832159,10.8193275626011,2.78815473322685e-27,4.8945606639421e-25,1.14838010275521e-25
"CENPK1137D_1183",4323.70563906576,-1.63557913501682,0.151425353776365,-10.8012237992348,3.39646042836382e-27,5.77610551598622e-25,1.37423162715481e-25
"CENPK1137D_2433",11054.1276309777,-4.18565432163788,0.38966526146556,-10.7416665932583,6.48627730307866e-27,1.0381859142163e-24,2.47001706293979e-25
"CENPK1137D_3210",12533.4271934415,-0.972055021730233,0.0904871325100034,-10.7424668543096,6.43028617947538e-27,1.0381859142163e-24,2.45130825093122e-25
"CENPK1137D_2805",2060.87542281772,-2.3331760983012,0.218311087366146,-10.6873916778585,1.16604158210125e-26,1.81302808279857e-24,4.31349552982713e-25
"CENPK1137D_1952",1528.16604725898,1.01297983824794,0.0955035186301525,10.6067279276988,2.77290243321266e-26,4.19170417820647e-24,9.92515569585665e-25
"CENPK1137D_3703",4231.95690508758,0.495433650189712,0.0469196285029008,10.559198058422,4.60579717910712e-26,6.77425628343269e-24,1.58978192350243e-24
"CENPK1137D_2614",2514.50710813946,-2.29190160491953,0.21737766251815,-10.5434090070233,5.448724251699e-26,7.8031466783542e-24,1.85038885390552e-24
"CENPK1137D_3542",1433.04004132873,-1.343311655388,0.127712957570307,-10.5182095923861,7.12139279496642e-26,9.937081946207e-24,2.34339690840943e-24
"CENPK1137D_5033",13154.8900853096,-2.94499516955028,0.28028788847112,-10.5070368384959,8.01730758326444e-26,1.09075469670313e-23,2.59508694487752e-24
"CENPK1137D_5018",4097.06686654314,-1.15005592393443,0.111432311576121,-10.3206682843406,5.6826238441499e-25,7.54264364874726e-23,1.76111787356122e-23
"CENPK1137D_303",2207.52137026032,-1.5491711918021,0.150246470193968,-10.3108658047149,6.29317891898519e-25,8.1541618278851e-23,1.94001079893792e-23
"CENPK1137D_2966",1858.92908201197,1.8807229986239,0.184424009439208,10.1978207953658,2.02771072071164e-24,2.56623296328203e-22,6.10549528748911e-23
"CENPK1137D_4190",1423.73307362607,0.923749248943206,0.0915735257081637,10.0875142875585,6.27380747492842e-24,7.75955915421829e-22,1.84612825596637e-22
"CENPK1137D_1426",1447.78916155603,0.927265338326359,0.0934761421638928,9.91980752372701,3.41413914112261e-23,4.12883226799761e-21,9.65416130590702e-22
"CENPK1137D_4147",1844.17416053408,0.840634843178624,0.0848220088890017,9.91057455711383,3.74486345209911e-23,4.43033628398334e-21,1.05405073081354e-21
"CENPK1137D_1883",1871.79688773021,1.05341097364566,0.106990653361405,9.84582242046257,7.14524244849933e-23,8.27327859675178e-21,1.9653707543585e-21
"CENPK1137D_2081",1706.74965194603,-1.63096274973007,0.166652642185988,-9.78660001027695,1.28545828492429e-22,1.45738833053292e-20,3.40564609818008e-21
"CENPK1137D_1842",2515.08379676493,-2.06801300604979,0.21149752811823,-9.7779535508034,1.40012801342476e-22,1.5549993161342e-20,3.68222801793413e-21
"CENPK1137D_4762",329.965405193535,-1.6673020756015,0.170800807230549,-9.76167561872791,1.64415895947348e-22,1.78950261149094e-20,4.25752451851996e-21
"CENPK1137D_2168",1487.66741124661,-1.67358846377132,0.172548952849388,-9.69920962216526,3.0384316879359e-22,3.24218534230336e-20,7.71369848795131e-21
"CENPK1137D_4895",2578.54439483256,-2.69716775192558,0.28076627568141,-9.60645200489142,7.5091968839489e-22,7.8586633543173e-20,1.8409383847152e-20
"CENPK1137D_4185",1902.1939198636,1.33229334552026,0.139338330750855,9.56157102170599,1.15982528345843e-21,1.19089984765675e-19,2.7568614519641e-20
"CENPK1137D_3878",4851.97573980634,-2.15613071429283,0.22560343449032,-9.55717149946733,1.21018920091059e-21,1.21960178358434e-19,2.86583147956573e-20
"CENPK1137D_2190",12745.3497460643,-4.958481163077,0.519362505012633,-9.54724516155894,1.33190827228028e-21,1.31786269413624e-19,3.12585872049078e-20
"CENPK1137D_344",1315.46045394409,1.44944543434447,0.152054835258215,9.53238633867222,1.53708568241695e-21,1.4937179078059e-19,3.55380348449865e-20
"CENPK1137D_1683",3742.32345999697,-2.28214429509055,0.240084350377682,-9.50559372778968,1.98910045552677e-21,1.89906748753977e-19,4.51819759222832e-20
"CENPK1137D_2564",3159.17610617284,-0.955317408413302,0.100996017036315,-9.458961218934,3.11017501498285e-21,2.91820214336839e-19,6.88238423636467e-20
"CENPK1137D_685",3912.11837118041,-5.48136158676575,0.580198939045355,-9.44738298864292,3.4740769176861e-21,3.20439433661826e-19,7.62378739631575e-20
"CENPK1137D_103",1902.40501671825,-1.30632507336971,0.138913262385317,-9.4038902473274,5.25821398920464e-21,4.69101648020519e-19,1.11607088768732e-19
"CENPK1137D_2694",4229.51290738642,0.790101190946507,0.0840046141793934,9.40544991087313,5.18080793962994e-21,4.69101648020519e-19,1.10120768166367e-19
"CENPK1137D_4154",1772.98142765663,1.44894943172252,0.154415063769874,9.3834720288812,6.38352584009087e-21,5.60308832609266e-19,1.3330679583584e-19
"CENPK1137D_4161",3005.87963139928,0.989168270061611,0.106339672491292,9.30196837067197,1.37869287732441e-20,1.19092803784118e-18,2.7724982629643e-19
"CENPK1137D_4504",3067.54611966931,0.629275126764987,0.0678494864887009,9.27457464058746,1.78329152919927e-20,1.51635507842225e-18,3.514994637582e-19
"CENPK1137D_1267",547.240354984621,-0.701001254937524,0.0756292290692686,-9.26891974920807,1.88040660185216e-20,1.55048071625446e-18,3.68885165216156e-19
"CENPK1137D_5435",8570.06390600654,1.08194011085418,0.116716749782916,9.26979300628669,1.86507518537859e-20,1.55048071625446e-18,3.66151470719216e-19
"CENPK1137D_3215",8817.16438242533,-5.37755896106483,0.581353273227315,-9.2500708411117,2.243439336885e-20,1.82220848825793e-18,4.3353372422014e-19
"CENPK1137D_118",4298.61090739776,1.61717353907135,0.175904290575703,9.19348546745865,3.80314157857305e-20,3.04363183391096e-18,7.17610291080364e-19
"CENPK1137D_4560",2346.5550742287,-1.35081338981865,0.14709073382479,-9.18353831470919,4.17154014215864e-20,3.29007557298946e-18,7.82763731655899e-19
"CENPK1137D_4178",2903.2020653013,1.62946546919102,0.178091724976485,9.14958552625716,5.71524003952662e-20,4.44319089930056e-18,1.05411693619269e-18
"CENPK1137D_1697",20400.697552308,-1.61472978957329,0.177165386619761,-9.11425092892937,7.9215795776074e-20,6.07172338892105e-18,1.42624509453285e-18
"CENPK1137D_5252",9374.58811134,-0.97577297005898,0.107078250728048,-9.11270928899655,8.03498911888425e-20,6.07311260902335e-18,1.44489455732658e-18
"CENPK1137D_5146",514.456502890874,-2.59666544379019,0.289647449367171,-8.96491734853338,3.10513652174935e-19,2.31481547278904e-17,5.41062704762796e-18
"CENPK1137D_5159",6052.12954763012,-3.42041265581651,0.382846985750575,-8.93415067408919,4.10317864638754e-19,3.01749975589743e-17,7.05480622235081e-18
